direction,group,area,type,vendor_name,normalized_name,slug,official_site,logo,logo_source_url,status,confidence,source,notes
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,Kaspersky,Kaspersky,kaspersky,https://www.kaspersky.ru/,assets/img/logos/vendors/kaspersky.svg,https://www.kaspersky.ru/,logo_ready,high,codex_it_p0_vendor_fill_20260702,Official inline SVG header logo from kaspersky.ru; stored locally with official brand color.
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,Positive Technologies,Positive Technologies,positive-technologies,https://ptsecurity.com/,assets/img/logos/vendors/positive-technologies.svg,https://ptsecurity.com/_next/static/media/Logo_white.075512d9.svg,logo_ready,high,codex_it_p0_vendor_fill_20260702,Official SVG logo from ptsecurity.com; mapped to information security.
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,UserGate,UserGate,usergate,https://usergate.com/,assets/img/logos/vendors/usergate.png,https://usergate.com/f/dist/media/favicons/favicon-96x96.png,logo_ready,medium,codex_it_p0_vendor_fill_20260702,Official UserGate favicon from usergate.com used as temporary logo asset; replace with official wordmark if provided by supplier.
IT оборудование и ПО,IT-инфраструктура,Корпоративные устройства,Интерактивное оборудование,BM Group,BM Group,bm-technology,https://bm-technology.ru/,assets/img/logos/vendors/bm-technology.svg,https://bm-technology.ru/templates/bmgroup_2.0/images/landings/homepage/img/logo_new.svg,logo_ready,medium,codex_it_p0_vendor_fill_20260702,"Official logo from bm-technology.ru; mapped only to interactive equipment, not broader IT categories."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,Systeme Electric,Systeme Electric,systeme-electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,КИТ,КИТ,kit,https://www.ocs.ru/vendors/kit/,assets/img/logos/vendors/import-20260630/kit.svg,https://www.ocs.ru/uploads/vendors/kit_logo_renewed.svg,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 12. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,Терек-Радио,Терек-Радио,terek-radio,https://terek-radio.ru/,assets/img/logos/vendors/import-20260630/terek-radio.png,https://terek-radio.ru/wp-content/uploads/2022/03/logo_for_heder_v2-1536x768.png,logo_ready,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 20. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,Корпоративные устройства,"ПК, моноблоки, ноутбуки, планшеты, клиентские устройства",KVADRA,KVADRA,kvadra,https://квадра.рф/,assets/img/logos/partners/kvadra-on-white.svg,https://xn--80aaej1a3b.xn--p1ai/wp-content/themes/kvadra/assets/public/static/images/logo.svg?v2,logo_ready,high,official_site_header_asset_adapted_on_white_card,IT-инфраструктура: корпоративные клиентские устройства YADRO/KVADRA.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Платформы разработки и сборки ПО,GitFlic,GitFlic,gitflic,https://gitflic.ru/,assets/img/logos/vendors/gitflic.svg,https://gitflic.ru/static/images/logo-black.svg,logo_ready,high,codex_p0_vendor_coverage_20260702,Official black SVG logo from gitflic.ru static assets; site title confirms source-code repository platform.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Управление данными и аналитика,Postgres Professional,Postgres Professional,postgres-professional,https://postgrespro.ru/,assets/img/logos/vendors/postgres-professional.svg,https://postgrespro.ru/media/2025/04/02/Postgres%20Pro.%20%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF%20%28%D1%81%D0%B8%D0%BD%D0%B8%D0%B9%29..svg,logo_ready,high,codex_p0_vendor_coverage_20260702,Official blue SVG from Postgres Pro press materials.
