priority,status,issues,block_id,block,direction_id,direction,system_id,system,product_group_id,product_group,page,product_types_count,product_types,catalog_brands_count,catalog_brands,vendor_count,vendors,vendor_logo_count,vendor_missing_logo_count,image,image_exists,image_width,image_height,image_bytes,image_sha12,image_ahash,image_brightness,image_contrast,image_entropy,exact_duplicate_count,visual_duplicate_count
P2,REVIEW,VENDOR_LOGO_MISSING,building-materials,Строительные материалы,constructive,Конструктивные решения,masonry-and-wall-materials,Стены / кладочные материалы,bricks,Кирпич,solution-constructive-masonry-and-wall-materials.html,7,рядовой кирпич; лицевой кирпич; полнотелый кирпич; пустотелый кирпич; керамический кирпич; силикатный кирпич; клинкерный кирпич,6,ЛСР; BRAER; УЗГК; Голицынский керамический завод; Липковский кирпичный завод; Керамин,57,"ЧЗСК; Белкерамик, г. Белгород; АО «Воскресенский кирпичный завод»; АО «Керамика» / Ломинцевский кирпичный завод; АО «Новомосковский завод керамических материалов»; АО «Норский керамический завод»; АО «Рязанский кирпичный завод»; АО «Силикат»; АО «Славянский кирпич»; АО «Тульский кирпичный завод» / Тульский кирпичный завод №1; Белкерамик / Белгородская керамика; Группа компаний «Терех»; ЗАО «Могилёвский комбинат силикатных изделий»; Завод «РИМХЕН»; Завод керамзитового гравия г. Новолукомль; Каширский кирпичный завод; Кирпичный завод «Клим Клинкер»; Коломенский кирпичный завод; Краснополянский кирпичный завод; ЛСР / ЛСР. Стеновые; Минский керамический завод ОАО «Керамин»; ОАО «Брестский комбинат строительных материалов»; ОАО «Гжельский кирпичный завод»; ОАО «Голицынский керамический завод»; ОАО «Гомельстройматериалы»; ОАО «Горынский комбинат строительных материалов»; ОАО «Керамика», УНП 300000303; ОАО «Ново-Иерусалимский кирпичный завод»; ОАО «Новокубанский завод керамических стеновых материалов»; ОАО «Обольский керамический завод»; ОАО «Радошковичский керамический завод»; ОАО «Столбцовский кирпичный завод»; ООО «Алексинский кирпичный завод»; ООО «Богандинский кирпичный завод»; ООО «Болоховский кирпичный завод»; ООО «Брянский кирпичный завод»; ООО «Вяземский кирпичный завод»; ООО «Гнездово»; ООО «КЕММА»; ООО «Карасевский керамический завод»; ООО «Липковский кирпичный завод»; ООО «МОСБЛОК»; ООО «Маркинский кирпичный завод»; ООО «Михневская керамика»; ООО «РуБелЭко»; ООО «Сергиево-Посадский кирпичный завод»; ООО «Технологии керамики» / Кирпичный завод Балашиха; ООО «Ухтинский завод глиняного кирпича» / УЗГК; ООО «Фабрика СВ ПРО»; ООО «Фокинский комбинат строительных материалов»; ПУЧП «Надежда»; Псковский кирпичный завод / ООО «Орион М»; СЗАО «КварцМелПром»; Филиал №3 «Минский комбинат силикатных изделий» ОАО «Белорусский цементный завод»; Филиал №5 «Гродненский комбинат строительных материалов»; Филиал №6 «Любанский КСМ» ОАО «Белорусский цементный завод»; BRAER",17,40,assets/img/solutions/detail/constructive/constructive-brick-v12.webp,true,1200,900,123506,277ca7c5a696,0c0c4c5636f6f8fe,65.1,41.0,7.11,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,informatsionnaya-bezopasnost,Информационная безопасность,informatsionnaya-bezopasnost,Информационная безопасность,solution-it-infrastructure-informatsionnaya-bezopasnost.html,3,"Защита инфраструктуры; Мониторинг, анализ; Защита данных",0,,3,Kaspersky; Positive Technologies; UserGate,3,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-informatsionnaya-bezopasnost-informatsionnaya-bezopasnost.webp,true,1200,900,92246,e5a3bcc76278,4347404c7e1ffe00,22.7,27.6,5.77,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,corporate-devices,Корпоративные устройства,interaktivnoe-oborudovanie,Интерактивное оборудование,solution-it-infrastructure-corporate-devices.html,1,Интерактивное оборудование,0,,1,BM Group,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-corporate-devices-interaktivnoe-oborudovanie.webp,true,1200,900,73124,b39825998382,839f988100c0c79f,27.7,29.9,6.13,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,corporate-devices,Корпоративные устройства,all-in-one-laptops-and-tablets,"Моноблоки, ноутбуки и планшеты",solution-it-infrastructure-corporate-devices.html,6,моноблоки; ноутбуки; планшеты; аксессуары; док-станции; корпоративные комплекты,1,KVADRA,2,KVADRA; iRU,2,0,assets/img/solutions/detail/it-infrastructure/it-client-devices.webp,true,1280,960,67762,55c1e0a5d455,03131e1e40f17f0f,48.3,39.4,6.92,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,virtualizatsiya-i-vdi,Виртуализация и VDI,solution-it-infrastructure-software-and-management.html,1,Виртуализация и VDI,0,,1,Группа Астра,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-software-and-management-virtualizatsiya-i-vdi.webp,true,1200,900,70104,ac79ebe4573e,41417f7e0e070303,26.4,25.4,5.90,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,operatsionnye-sistemy,Операционные системы,solution-it-infrastructure-software-and-management.html,1,Операционные системы,0,,1,Группа Астра,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-software-and-management-operatsionnye-sistemy.webp,true,1200,900,51216,3e1d6acf7ce1,3e3e363e3e020000,34.1,31.3,6.32,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,software-monitoring-and-virtualization,"ПО, мониторинг и виртуализация",solution-it-infrastructure-software-and-management.html,6,ПО мониторинга; средства интеграции; виртуализация; ПО управления инфраструктурой; резервное копирование; лицензии,1,YADRO,4,Systeme Electric; КИТ; Терек-Радио; YADRO,4,0,assets/img/solutions/detail/it-infrastructure/it-software-monitoring-virtualization-control-room.webp,true,1200,900,103342,70c59d888859,3f0f07300d33a30f,37.5,28.4,6.47,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,platformy-razrabotki-i-sborki-po,Платформы разработки и сборки ПО,solution-it-infrastructure-software-and-management.html,1,Платформы разработки и сборки ПО,0,,1,GitFlic,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-software-and-management-platformy-razrabotki-i-sborki-po.webp,true,1200,900,63272,c8c518dc0292,0019193f6f424000,30.2,26.1,5.79,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,programmnoe-obespechenie,Программное обеспечение,solution-it-infrastructure-software-and-management.html,1,Программное обеспечение,0,,1,YADRO,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-software-and-management-programmnoe-obespechenie.webp,true,1200,900,34258,d8d41f770c5c,1819393d197f3f00,15.8,18.9,5.14,1,1
OK,OK,,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,rezervnoe-kopirovanie,Резервное копирование,solution-it-infrastructure-software-and-management.html,1,Резервное копирование,0,,1,Киберпротект,1,0,assets/img/solutions/detail/it-infrastructure/it-infrastructure-software-and-management-rezervnoe-kopirovanie.webp,true,1200,900,62774,a8f05dd10d04,0018383899d34200,30.7,29.2,5.90,1,1
