reason,vendor_name,vendor_slug,direction,group,area,type,status,action
no_catalog_group_match,Курский Завод Композитных Материалов,kurskiy-zavod-kompozitnyh-materialov,Конструктивные решения,Конструктивные решения,Конструктивные решения,Композитная арматура,logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,ООО «Уральский асбоцементный завод»,ooo-uralskiy-asbotsementnyy-zavod,Конструктивные решения,Конструктивные решения,Конструктивные решения,Хризотилцементные листы,logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,БЕЛАНД,beland,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,ГК «МОДУЛЬ»,gk-modul,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,ОАО ИНТЕГРАЛ,oao-integral,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,ООО «ПОДОЛЬСКИЙ ЗАВОД СТЕНОВЫХ И ПОТОЛОЧНЫХ ПАНЕЛЕЙ»,ooo-podolskiy-zavod-stenovyh-i-potolochnyh-paneley,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,manual_confirm_before_public_catalog_mapping
no_catalog_group_match,АО «ЗАВОД «ФИОЛЕНТ»,ao-zavod-fiolent,ЭОМ,ЭОМ,ЭОМ,строит. инструм,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,Creavit,creavit,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,"Компания ""МаГрин""",kompaniya-magrin,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,"ООО ""СЭСТ-ЛЮВЭ""",ooo-sest-lyuve,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,ООО «ТД «РусКомпозит»,ooo-td-ruskompozit,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,ООО Век,ooo-vek,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2025,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,Старопетровское,staropetrovskoe,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,"Холдинг ""Герметик Центр""",holding-germetik-tsentr,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,manual_confirm_before_public_catalog_mapping
source_noise_or_event,ООО «Научно Производственное Предприятие ЭЛМА ЭЛЕКТРОНИКС»,ooo-nauchno-proizvodstvennoe-predpriyatie-elma-elektroniks,ЭОМ,ЭОМ,ЭОМ,Электро 2025,logo_ready,manual_confirm_before_public_catalog_mapping
