global_block_title,direction_title,system_title,product_group_id,product_group_title,mapped_vendors,coverage
Строительные материалы,Архитектурные решения,Потолки,ceiling-systems,Потолочные системы,4,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,hpl-wall-panels,HPL стеновые панели,1,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,sml-wall-panels,СМЛ стеновые панели,1,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,gml-wall-panels,GML стеновые панели,2,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,sml-paneli,СМЛ панели,1,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,gml-paneli,GML панели,2,covered
Строительные материалы,Архитектурные решения,Стены / интерьерные панели,santehnicheskie-peregorodki,Сантехнические перегородки,1,covered
Строительные материалы,Архитектурные решения,Полы,porcelain-tile,Керамогранитная плитка,4,covered
Строительные материалы,Архитектурные решения,Полы,linoleum,Линолеум,1,covered
Строительные материалы,Архитектурные решения,Полы,laminat,Ламинат,1,covered
Строительные материалы,Архитектурные решения,Полы,komplektuyuschie-k-linoleumu,Комплектующие к линолеуму,1,covered
Строительные материалы,Архитектурные решения,Полы,plintus,Плинтус,1,covered
Строительные материалы,Архитектурные решения,Полы,podlozhka,Подложка,1,covered
Строительные материалы,Архитектурные решения,Полы,falshpoly,Фальшполы,1,covered
Строительные материалы,Архитектурные решения,"Окна, витражи, двери",aluminum-windows-glazing,Окна и витражи в алюминиевом профиле,10,covered
Строительные материалы,Архитектурные решения,"Окна, витражи, двери",pvc-windows,Окна ПВХ,8,covered
Строительные материалы,Архитектурные решения,"Окна, витражи, двери",steel-and-fire-doors,Двери стальные и противопожарные,3,covered
Строительные материалы,Архитектурные решения,"Окна, витражи, двери",okna,Окна,8,covered
Строительные материалы,Архитектурные решения,"Окна, витражи, двери",dveri,Двери,3,covered
Строительные материалы,Архитектурные решения,Фасады,aluminum-cassettes,Алюминиевые кассеты,1,covered
Строительные материалы,Архитектурные решения,Фасады,facade-substructure,Алюминиевый каркас,4,covered
Строительные материалы,Архитектурные решения,Фасады,facade-porcelain-slabs,Керамогранитные плиты,4,covered
Строительные материалы,Архитектурные решения,Фасады,facade-hpl-panels,HPL панели,1,covered
Строительные материалы,Архитектурные решения,Фасады,ventilated-facade-systems,Навесные фасадные системы,3,covered
Строительные материалы,Архитектурные решения,Фасады,podsistema-dlya-keramogranita,Подсистема для керамогранита,2,covered
Строительные материалы,Архитектурные решения,Фасады,metallokassety,Металлокассеты,3,covered
Строительные материалы,Архитектурные решения,Фасады,uteplitel,Утеплитель,4,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,plasters-and-leveling-compounds,Штукатурные и выравнивающие смеси,4,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,paints-and-coatings,Краска / лакокрасочные материалы,1,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,oboi,Обои,1,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,kraska,Краска,1,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,suhie-smesi,Сухие смеси,4,covered
Строительные материалы,Архитектурные решения,Отделочные материалы,akusticheskie-resheniya,Акустические решения,1,covered
Строительные материалы,Архитектурные решения,Кровельные системы,krovelnye-sistemy,Кровельные системы,3,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,bricks,Кирпич,57,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,blocks,Блоки,3,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,sandwich-panels,Сэндвич-панели,1,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,gazobetonnye-bloki,Газобетонные блоки,1,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,penobloki,Пеноблоки,1,covered
Строительные материалы,Конструктивные решения,Стены / кладочные материалы,keramzitobetonnye-bloki,Керамзитобетонные блоки,3,covered
