vendor_slug,vendor_name,official_site,logo,logo_source_url,global_block_id,global_block_title,direction_id,direction_title,system_id,system_title,product_group_id,product_group_title,source_direction,source_group,source_area,source_type,show_in_catalog,show_in_vendors,show_on_home,show_in_partners,status,confidence,matched_by,source,notes
kaspersky,Kaspersky,https://www.kaspersky.ru/,assets/img/logos/vendors/kaspersky.svg,https://www.kaspersky.ru/,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,informatsionnaya-bezopasnost,Информационная безопасность,informatsionnaya-bezopasnost,Информационная безопасность,IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,true,true,false,false,published,curated_type_alias,Информационная безопасность,codex_it_p0_vendor_fill_20260702,"Official inline SVG header logo from kaspersky.ru, stored locally with official brand color."
positive-technologies,Positive Technologies,https://ptsecurity.com/,assets/img/logos/vendors/positive-technologies.svg,https://ptsecurity.com/_next/static/media/Logo_white.075512d9.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,informatsionnaya-bezopasnost,Информационная безопасность,informatsionnaya-bezopasnost,Информационная безопасность,IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,true,true,false,false,published,curated_type_alias,Информационная безопасность,codex_it_p0_vendor_fill_20260702,"Official SVG logo from ptsecurity.com, mapped to information security."
usergate,UserGate,https://usergate.com/,assets/img/logos/vendors/usergate.png,https://usergate.com/f/dist/media/favicons/favicon-96x96.png,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,informatsionnaya-bezopasnost,Информационная безопасность,informatsionnaya-bezopasnost,Информационная безопасность,IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,true,true,false,false,published,curated_type_alias,Информационная безопасность,codex_it_p0_vendor_fill_20260702,"Official UserGate favicon from usergate.com used as temporary logo asset, replace with official wordmark if provided by supplier."
bm-technology,BM Group,https://bm-technology.ru/,assets/img/logos/vendors/bm-technology.svg,https://bm-technology.ru/templates/bmgroup_2.0/images/landings/homepage/img/logo_new.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,corporate-devices,Корпоративные устройства,interaktivnoe-oborudovanie,Интерактивное оборудование,IT оборудование и ПО,IT-инфраструктура,Корпоративные устройства,Интерактивное оборудование,true,true,false,false,published,curated_type_alias,Интерактивное оборудование,codex_it_p0_vendor_fill_20260702,"Official logo from bm-technology.ru, mapped only to interactive equipment, not broader IT categories."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,servers-and-datacenter,Серверы и ЦОД,servers,Серверы,IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,servers-and-datacenter,Серверы и ЦОД,storage-systems,Системы хранения данных,IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,servers-and-datacenter,Серверы и ЦОД,servery-i-shd,Серверы и СХД,IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,network-equipment,Сетевое оборудование,network-switches,Коммутаторы,IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,network-equipment,Сетевое оборудование,setevoe-oborudovanie-i-telekom,Сетевое оборудование и телеком,IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
systeme-electric,Systeme Electric,https://systeme.ru,assets/img/logos/vendors/import-20260630/systeme-electric.svg,https://systeme.ru/_nuxt/img/logo-main-mobile.63c6943.svg,it-equipment-and-software,IT оборудование и ПО,it-infrastructure,IT-инфраструктура,software-and-management,ПО и управление,software-monitoring-and-virtualization,"ПО, мониторинг и виртуализация",IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,true,true,true,true,published,curated_vendor_slug,systeme-electric,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
